"No.","Time","Source","Destination","Protocol","Length","Info"
"7971","11:57:11.484964411","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=38059 Ack=4036404 Win=65536 Len=0"
"7972","11:57:11.484964505","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"7973","11:57:11.485072283","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"7974","11:57:11.485196611","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=38098 Ack=4040582 Win=65536 Len=0"
"7975","11:57:11.485196725","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"7976","11:57:11.485397401","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"7977","11:57:11.485397502","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=38137 Ack=4044760 Win=65536 Len=0"
"7978","11:57:11.485530513","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"7979","11:57:11.485530624","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"7980","11:57:11.485763869","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=38176 Ack=4048938 Win=65536 Len=0"
"7981","11:57:11.485764003","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"7982","11:57:11.486018689","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"7983","11:57:11.486270534","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=38215 Ack=4053116 Win=65536 Len=0"
"7984","11:57:11.486270662","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"7985","11:57:11.486445736","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"7986","11:57:11.486445831","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=38254 Ack=4057294 Win=65536 Len=0"
"7987","11:57:11.486572879","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"7988","11:57:11.486656479","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"7989","11:57:11.486726093","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=38293 Ack=4061472 Win=65536 Len=0"
"7990","11:57:11.486726199","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"7991","11:57:11.486947270","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"7992","11:57:11.487092824","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=38332 Ack=4065650 Win=65536 Len=0"
"7993","11:57:11.487092940","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"7994","11:57:11.487218071","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"7995","11:57:11.487333818","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=38371 Ack=4069828 Win=65536 Len=0"
"7996","11:57:11.487333930","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"7997","11:57:11.487555183","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"7998","11:57:11.487788782","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=38410 Ack=4074006 Win=65536 Len=0"
"7999","11:57:11.487788869","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8000","11:57:11.488002068","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8001","11:57:11.488128737","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=38449 Ack=4078184 Win=65536 Len=0"
"8002","11:57:11.488128865","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8003","11:57:11.488255230","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8004","11:57:11.488376346","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=38488 Ack=4082362 Win=65536 Len=0"
"8005","11:57:11.488447610","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8006","11:57:11.488645657","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
